name;url;url_raw;type;email;external_doc;external_tool;consolidation;labels
plan-corps-rue-simplifie;https://github.com/cnigfr/schema-plan-corps-rue-simplifie.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/documents_wordpress/2017/12/CNIG_RTGE_PCRS_v2.0.pdf;;;CNIG
socle-reseaux;https://github.com/cnigfr/schema-socle-reseaux.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/documents_wordpress/2019/11/CNIG_STAR-DT_v1.0.pdf;;;CNIG
occupation-sols;https://github.com/cnigfr/schema-occupation-sols.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/pdf/pnocsge-10-decembre-20141.pdf;;;CNIG
continuites-ecologiques-regionales;https://github.com/cnigfr/schema-continuites-ecologiques-regionales.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/documents_wordpress/2018/10/181001_Standard_CNIG_CER_v2018.pdf;;;CNIG
desserte-transport-bois;https://github.com/cnigfr/schema-desserte-transport-bois.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/documents_wordpress/2019/09/Dictionnaire_donnees_standard_dessertes_transport_de_bois_v4.pdf;;;CNIG
eclairage-exterieur;https://github.com/cnigfr/schema-eclairage-exterieur.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/pdf/cnig_eclext_v1_1.pdf;;;CNIG
reseaux-electriques;https://github.com/cnigfr/schema-reseaux-electriques.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/pdf/cnig_star-elec_v1_02.pdf;;;CNIG
grace-thd;https://github.com/cnigfr/schema-grace-thd.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/les-standards-cnig-a18959.html#:~:text=Am%C3%A9nagement%20num%C3%A9rique%20des%20territoires;;;CNIG
plan-local-urbanisme;https://github.com/cnigfr/schema-plan-local-urbanisme.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/ressources-dematerialisation-documents-d-urbanisme-a2732.html;;;CNIG|Documents dématérialisés d’urbanisme
carte-communale;https://github.com/cnigfr/schema-carte-communale.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/ressources-dematerialisation-documents-d-urbanisme-a2732.html;;;CNIG|Documents dématérialisés d’urbanisme
schema-coherence-territoriale;https://github.com/cnigfr/schema-schema-coherence-territoriale.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/ressources-dematerialisation-documents-d-urbanisme-a2732.html;;;CNIG|Documents dématérialisés d’urbanisme
plan-sauvegarde-et-mise-en-valeur;https://github.com/cnigfr/schema-plan-sauvegarde-et-mise-en-valeur.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/ressources-dematerialisation-documents-d-urbanisme-a2732.html;;;CNIG|Documents dématérialisés d’urbanisme
servitudes-utilite-publique;https://github.com/cnigfr/schema-servitudes-utilite-publique.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/ressources-dematerialisation-documents-d-urbanisme-a2732.html;;;CNIG|Documents dématérialisés d’urbanisme
sites-economiques;https://github.com/cnigfr/schema-sites-economiques.git;https://raw.githubusercontent.com/cnigfr/schema-sites-economiques/main/datapackage.json;datapackage;cnig@cnig.fr;;;;CNIG
operations-amenagement;https://github.com/cnigfr/schema-operations-amenagement.git;https://raw.githubusercontent.com/cnigfr/schema-operations-amenagement/main/datapackage.json;datapackage;cnig@cnig.fr;;;;CNIG
aire-livraison;https://github.com/CEREMA/schema-aire-livraison.git;https://raw.githubusercontent.com/CEREMA/schema-aire-livraison/main/schema.json;tableschema;mathieu.rajerison@cerema.fr;;;;
indice-durabilite;https://github.com/etalab/schema-indice-durabilite.git;https://raw.githubusercontent.com/etalab/schema-indice-durabilite/main/datapackage.json;datapackage;schema@data.gouv.fr;;;;
declaration-biens-reemploi-reutilisation-recycle;https://github.com/datagouv/schema-declaration-biens-reemploi-reutilisation-recycle.git;https://raw.githubusercontent.com/datagouv/schema-declaration-biens-reemploi-reutilisation-recycle/master/schema.json;tableschema;schema@data.gouv.fr;;;;
fontaine-eau;https://github.com/datagouv/schema-fontaine-eau.git;https://raw.githubusercontent.com/datagouv/schema-fontaine-eau/master/schema.json;tableschema;schema@data.gouv.fr;;;;
projet-collectivites-transition-ecologique;https://github.com/betagouv/schema-projet-collectivites-transition-ecologique.git;https://raw.githubusercontent.com/betagouv/schema-projet-collectivites-transition-ecologique/main/datapackage.json;datapackage;adrien.zemour@beta.gouv.fr;;;;
geostandard-risque;https://github.com/cnigfr/Geostandards-Risques.git;;other;cnig@cnig.fr;https://cnig.gouv.fr/IMG/pdf/geostandards-risques-modele-commun-v1_0.pdf;;;CNIG
geostandard-risque-ppr;https://github.com/cnigfr/Geostandards-risques-ppr.git;;other;cnig@cnig.fr;https://github.com/cnigfr/Geostandards-risques-ppr/blob/master/standard/diffusion/geostandards-risques-ppr-v1.0.1.pdf;;;CNIG
paysage;https://github.com/cnigfr/schema-paysage.git;https://raw.githubusercontent.com/cnigfr/schema-paysage/main/datapackage.json;datapackage;cnig@cnig.fr;;;;CNIG
